stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
466850,五分山雷達站,756.0,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號,1998/07/01,,本站只有雷達觀測資料。,,
466880,板橋,9.7,121.44201699999999,24.997647,新北市,板橋區大觀路二段265巷62號,1972/03/01,,原為探空站，自2002年開始進行氣象觀測。因受附近興建合宜住宅影響，日照觀測自民國104年起受大樓陰影遮蔽而影響觀測資料，影響時間為10月至隔年3月之7時至11時，4月至9月之7時至8時。,,
466900,淡水,19.0,121.44890600000001,25.164889000000002,新北市,淡水區中正東路42巷6號,1942/01/01,,,,
466910,鞍部,837.6,121.52973100000001,25.182585999999997,臺北市,北投區陽明山竹子湖路111號,1937/01/01,,,,
466920,臺北,5.3,121.514853,25.037658,臺北市,中正區公園路64號,1896/01/01,,2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m),,
466930,竹子湖,607.1,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號,1937/01/01,,,,
466940,基隆,26.7,121.740475,25.133314000000002,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/01/01,,,,
466950,彭佳嶼,101.7,122.07974399999999,25.627975,基隆市,中正區彭佳嶼,1910/01/01,,,,
466990,花蓮,16.1,121.613275,23.975128,花蓮縣,花蓮市花崗街24號,1910/01/01,,,,
467050,新屋,20.6,121.047486,25.006744,桃園市,新屋區東興路二段946號,2013/07/01,,座標及高度於2013/10/09更正。2020/01/01至2020/02/15因施工部分觀測資料缺值。,,
467060,蘇澳,24.9,121.857372,24.596736,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1981/07/01,,1981/12/1開始觀測。,,
467080,宜蘭,7.2,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號,1935/01/01,,,,
467110,金門,47.9,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號,2004/01/01,,,,
467270,田中,48.6,120.58134799999999,23.873776,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,2020/04/10,,,,
467300,東吉島,43.0,119.66746699999999,23.25695,澎湖縣,望安鄉東吉村156號,1962/01/01,,,,
467350,澎湖,10.7,119.56309399999999,23.565503,澎湖縣,馬公市新興路2號,1896/01/01,,,,
467410,臺南,40.8,120.20477199999999,22.993239000000003,臺南市,中西區公園路21號,1897/01/01,,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,,
467420,永康,8.1,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號,1941/06/01,,,,
467440,高雄,2.3,120.31573300000001,22.565992,高雄市,前鎮區明孝里26鄰漁港南二路2號,1931/01/01,,,,
467480,嘉義,26.9,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,1968/09/01,,,,
467490,臺中,84.0,120.684075,24.145736,臺中市,北區精武路295號,1896/01/01,,2000年至2006年氣候年報之海拔高度誤植為34m。,,
467530,阿里山,2413.4,120.81324199999999,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933/01/01,,,,
467540,大武,8.1,120.90378899999999,22.355675,臺東縣,大武鄉大武街115號,1939/01/01,,,,
467550,玉山,3844.8,120.95952199999999,23.487614,南投縣,信義鄉玉山北峰1號,1943/01/01,,,,
467571,新竹,26.9,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,1991/07/01,,,,
467590,恆春,22.3,120.74633899999999,22.003897,屏東縣,恆春鎮天文路50號,1896/01/01,,,,
467610,成功,33.5,121.373428,23.097486,臺東縣,成功鎮公民路84號,1940/01/01,,,,
467620,蘭嶼,324.0,121.55833899999999,22.036969,臺東縣,蘭嶼鄉紅頭村2號,1940/01/01,,,,
467650,日月潭,1017.5,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1940/01/01,,,,
467660,臺東,9.0,121.15458600000001,22.752211,臺東縣,臺東市大同路106號,1901/01/01,,,,
467770,梧棲,31.7,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,1976/11/01,,於2020/1/1起，由人工觀測作業改為自動觀測。,,
467790,墾丁雷達站,42.0,120.80802800000001,21.948235,屏東縣,恆春鎮燈塔路51巷33號,2001/11/01,,本站只有雷達觀測資料。,,
467990,馬祖,97.8,119.923419,26.169269,連江縣,南竿鄉四維村6鄰88號,2004/01/01,,,,
C0A520,山佳,48.0,121.40200800000001,24.974944,新北市,樹林區中山路3段5號(山佳國民小學校園內),1987/05/01,,,,
C0A530,坪林,300.0,121.709378,24.938203,新北市,坪林區,1987/05/01,,,,
C0A540,四堵,401.0,121.74589399999999,24.892761,新北市,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘),1987/05/01,,,,
C0A550,泰平,422.0,121.82371100000002,24.971197,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近),1987/05/01,,,,
C0A560,福山,405.0,121.50281100000001,24.776203,新北市,烏來區福山里李茂岸八號(福山國小旁),1987/05/01,,,,
C0A570,桶後,360.0,121.59799199999999,24.848222,新北市,烏來區后桶街49號孝義里5-6k處路旁,1987/05/01,,,,
C0A640,石碇,241.0,121.662931,24.993858,新北市,石碇區湳窟34號附近,2009/12/01,,原(C1A640)站因擴充為氣象站，於2009/12/1升級為(C0A640)站。,C1A640,
C0A650,火燒寮,287.0,121.742892,25.002719,新北市,平溪區東勢里,2009/12/01,,原(C1A650)站因擴充為氣象站，於2009/12/1升級為(C0A650)站。,C1A650,
C0A660,瑞芳,97.0,121.801147,25.113169,新北市,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內),2009/12/01,,原(C1A660)站因擴充為氣象站，於2009/12/1升級為(C0A660)站。,C1A660,
C0A860,大坪,362.0,121.63296899999999,25.165914,新北市,萬里區溪底里香員林6-3號,1993/06/04,,,,
C0A870,五指山,685.0,121.60869199999999,25.132153,新北市,汐止區國軍示範公墓旁之復興廣播電台門口外,1993/08/20,,,,
C0A880,福隆,6.0,121.94208300000001,25.017842,新北市,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方,1993/06/30,,,,
C0A890,雙溪,40.0,121.86424199999999,25.036003,新北市,雙溪區雙溪里社區活動中心旁花圃內,1993/06/30,,,,
C0A920,富貴角,196.0,121.56525800000001,25.263783,新北市,石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近),1994/10/19,,,,
C0A931,三和,216.0,121.59523600000001,25.233153,新北市,金山區三和國小兩湖分校,2014/04/01,,原(C0A930)站因移位，於2014/4/1更變為(C0A931)站。,C0A930,
C0A940,金山,49.0,121.64396699999999,25.223628,新北市,金山區中興段404地號(磺港社區活動中心內),1994/08/29,,,,
C0A950,鼻頭角,60.0,121.923372,25.129036,新北市,瑞芳區鼻頭角燈塔旁,1994/08/29,,,,
C0A970,三貂角,96.0,122.002058,25.007606,新北市,貢寮區三貂角燈塔旁,1995/06/08,,本站於2017/10/23進行儀器汰換，於2017/12/1完成驗收。,,
C0A980,社子,11.0,121.46968100000001,25.109507999999998,臺北市,士林區延平北路9段212號(台北海洋技術學院內),1997/09/01,,,,
C0A9C0,天母,35.0,121.53716899999999,25.117494,臺北市,士林區天母東路116號(三玉國小內),1997/08/16,,,,
C0A9E0,士林,26.0,121.503019,25.090253,臺北市,士林區延平北路6段308號(社子國小內),1997/08/21,,,,
C0A9F0,內湖,35.0,121.57545,25.079422,臺北市,內湖區內湖路一段520號(內湖高工內),1997/08/21,,,,
C0AC40,大屯山,1079.0,121.52240800000001,25.175675,臺北市,北投區湖田段461-6地號(民航局大屯山助航臺),2005/11/25,,,,
C0AC60,三峽,55.0,121.36972800000001,24.939025,新北市,三峽區復興路238號(三峽國中校園內),2009/04/09,,,,
C0AC70,信義,71.0,121.56459699999999,25.037822,臺北市,信義區市府路1號(台北市政府頂樓),2009/03/31,,,,
C0AC80,文山,40.0,121.575728,25.00235,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內),2009/12/01,,原(C1AC80)站因擴充為氣象站，於2009/12/1升級為(C0AC80)站。,C1AC80,
C0ACA0,新莊,25.0,121.44675600000001,25.051478,新北市,新莊區中和街193號(榮富國小校園內),2009/12/01,,原(C1ACA0)站因擴充為氣象站，於2009/12/1升級為(C0ACA0)站，站址搬遷至同校行政大樓西側。,C1ACA0,
C0AD00,三芝,86.0,121.50191699999999,25.258131,新北市,三芝區育英路22號(三芝國小內),2009/08/25,,,,
C0AD10,八里,27.0,121.403947,25.150211,新北市,八里區中山路二段338號(八里國小內),2009/08/19,,,,
C0AD30,蘆洲,20.0,121.47233100000001,25.086594,新北市,蘆洲區三民路96號(三民高中內),2009/09/01,,,,
C0AD40,土城,32.0,121.44516899999999,24.973208,新北市,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂),2009/09/05,,,,
C0AD50,鶯歌,84.0,121.346294,24.951532999999998,新北市,鶯歌區尖山埔路106號(鶯歌國小內),2009/09/03,,,,
C0AG90,中和,25.0,121.490444,24.992647,新北市,中和區錦和路350號(錦和運動公園),2011/07/23,,,,
C0AH00,汐止,38.0,121.658778,25.066881,新北市,汐止區大同路二段394號(汐止國中),2011/08/08,,,,
C0AH10,永和,30.0,121.50811100000001,25.01125,新北市,永和區永平路205號(永平高中校園內),2013/12/24,,,,
