,id,cht_name,eng_name,path,max_WS,max_range7,max_range10
2020-11-05,202020,閃電,ATSANI,0,,,
2020-11-06,202020,閃電,ATSANI,0,,,
2020-11-07,202020,閃電,ATSANI,0,,,
2020-08-22,202008,巴威,BAVI,0,43,220,80
2020-08-10,202006,米克拉,MEKKHALA,0,23,120,
2020-08-11,202006,米克拉,MEKKHALA,0,23,120,
2020-08-02,202004,哈格比,HAGUPIT,0,33,100,40
2020-08-03,202004,哈格比,HAGUPIT,0,33,100,40
2020-05-16,202001,黃蜂,VONGFONG,0,43,150,50
2019-09-29,201918,米塔,MITAG,6,38,180,60
2019-09-30,201918,米塔,MITAG,6,38,180,60
2019-10-01,201918,米塔,MITAG,6,38,180,60
2019-08-23,201911,白鹿,BAILU,4,30,150,50
2019-08-24,201911,白鹿,BAILU,4,30,150,50
2019-08-25,201911,白鹿,BAILU,4,30,150,50
2019-08-07,201909,利奇馬,LEKIMA,1,53,280,100
2019-08-08,201909,利奇馬,LEKIMA,1,53,280,100
2019-08-09,201909,利奇馬,LEKIMA,1,53,280,100
2019-07-16,201905,丹娜絲,DANAS,0,23,150,
2019-07-17,201905,丹娜絲,DANAS,0,23,150,
2018-09-14,201822,山竹,MANGKHUT,0,60,320,120
2018-09-15,201822,山竹,MANGKHUT,0,60,320,120
2018-07-09,201808,瑪莉亞,MARIA,1,55,280,100
2018-07-10,201808,瑪莉亞,MARIA,1,55,280,100
2018-07-11,201808,瑪莉亞,MARIA,1,55,280,100
2017-09-12,201718,泰利,TALIM,0,48,250,80
2017-09-13,201718,泰利,TALIM,0,48,250,80
2017-09-14,201718,泰利,TALIM,0,48,250,80
2017-09-06,201717,谷超,GUCHOL,0,18,80,
2017-08-20,201713,天鴿,HATO,0,33,180,50
2017-08-21,201713,天鴿,HATO,0,33,180,50
2017-07-29,201710,海棠,HAITANG,7,20,100,
2017-07-30,201710,海棠,HAITANG,7,20,100,
2017-07-28,201709,尼莎,NESAT,2,40,180,60
2016-10-05,201619,艾利,AERE,0,18,120,
2016-10-06,201619,艾利,AERE,0,18,120,
2016-09-25,201617,梅姬,MEGI,3,45,250,100
2016-09-26,201617,梅姬,MEGI,3,45,250,100
2016-09-27,201617,梅姬,MEGI,3,45,250,100
2016-09-15,201616,馬勒卡,MALAKAS,0,45,180,60
2016-09-16,201616,馬勒卡,MALAKAS,0,45,180,60
2016-09-17,201616,馬勒卡,MALAKAS,0,45,180,60
2016-09-12,201614,莫蘭蒂,MERANTI,7,60,220,80
2016-09-13,201614,莫蘭蒂,MERANTI,7,60,220,80
2016-09-14,201614,莫蘭蒂,MERANTI,7,60,220,80
2016-07-06,201601,尼伯特,NEPARTAK,4,58,200,80
2016-07-07,201601,尼伯特,NEPARTAK,4,58,200,80
2016-07-08,201601,尼伯特,NEPARTAK,4,58,200,80
2016-07-09,201601,尼伯特,NEPARTAK,4,58,200,80
2015-09-27,201521,杜鵑,DUJUAN,2,51,220,80
2015-09-28,201521,杜鵑,DUJUAN,2,51,220,80
2015-09-29,201521,杜鵑,DUJUAN,2,51,220,80
2015-08-20,201515,天鵝,GONI,0,51,200,80
2015-08-21,201515,天鵝,GONI,0,51,200,80
2015-08-22,201515,天鵝,GONI,0,51,200,80
2015-08-23,201515,天鵝,GONI,0,51,200,80
2015-08-06,201513,蘇迪勒,SOUDELOR,3,48,300,100
2015-08-07,201513,蘇迪勒,SOUDELOR,3,48,300,100
2015-08-08,201513,蘇迪勒,SOUDELOR,3,48,300,100
2015-07-06,201510,蓮花,LINFA,0,30,120,30
2015-07-07,201510,蓮花,LINFA,0,30,120,30
2015-07-08,201510,蓮花,LINFA,0,30,120,30
2015-07-09,201509,昌鴻,CHAN-HOM,0,48,280,100
2015-07-10,201509,昌鴻,CHAN-HOM,0,48,280,100
2015-07-11,201509,昌鴻,CHAN-HOM,0,48,280,100
2015-05-10,201506,紅霞,NOUL,0,51,200,80
2015-05-11,201506,紅霞,NOUL,0,51,200,80
